branch,trials,duration_seconds,trials_per_hour,gap_count,max_gap_seconds,improvement_pct_total
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-49,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-5,4,1932,5.59,1,955,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-50,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-51,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-52,8,12255,2.06,6,4414,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-53,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-54,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-55,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-57,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-58,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-59,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-60,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-61,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-62,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-63,2,255,14.10,0,255,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-64,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-65,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-66,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-67,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-68,3,813,8.86,1,660,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-69,2,1973,1.82,1,1973,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-70,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-8,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-2-brief-9,4,2225,4.85,2,1147,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-0,8,14300,1.76,5,5409,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-1,2,853,4.22,1,853,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-10,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-11,2,651,5.53,1,651,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-12,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-13,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-14,2,360,10.01,0,360,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-15,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-16,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-17,3,1023,7.04,0,595,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-18,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-19,5,2165,6.65,1,692,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-2,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-20,2,1627,2.21,1,1627,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-3,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-4,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-5,3,3990,1.80,2,2238,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-6,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-7,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-8,0,0,0.00,0,0,+0.00
autocuda/optimize/2026-06-22-09-10-03-qr_v2/worker-3-brief-9,0,0,0.00,0,0,+0.00
